Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2017,9,17,00:00,UTC,1014.8,0,96,7.2,1.9
2017,9,17,01:00,UTC,1015,0,97,6.8,1.3
2017,9,17,02:00,UTC,1015.6,0,97,6,1.4
2017,9,17,03:00,UTC,1015.8,0,97,6,1.6
2017,9,17,04:00,UTC,1016.1,0,97,6.7,1
2017,9,17,05:00,UTC,1016.6,0,97,7,1.5
2017,9,17,06:00,UTC,1016.9,0,91,9.3,1.6
2017,9,17,07:00,UTC,1017.4,0,75,10.7,1.2
2017,9,17,08:00,UTC,1017.6,0,62,12,1
2017,9,17,09:00,UTC,1017.2,0,66,12.5,1.7
2017,9,17,10:00,UTC,1017.4,0,61,13.3,0.7
2017,9,17,11:00,UTC,1017.5,0,63,14.1,3.8
2017,9,17,12:00,UTC,1017.1,0,57,14,2.6
2017,9,17,13:00,UTC,1016.7,0,60,13.8,2.4
2017,9,17,14:00,UTC,1016.7,0,61,14.2,4.1
2017,9,17,15:00,UTC,1016.6,0,67,12.7,2.6
2017,9,17,16:00,UTC,1016.4,0,71,11.9,1.7
2017,9,17,17:00,UTC,1016.2,0,78,10.4,1.5
2017,9,17,18:00,UTC,1016.7,0,85,9.5,1.6
2017,9,17,19:00,UTC,1016.4,0,92,8.4,1
2017,9,17,20:00,UTC,1016.1,0,95,7.6,1.2
2017,9,17,21:00,UTC,1015.9,0,96,7.7,2.7
2017,9,17,22:00,UTC,1015.7,0,96,6.4,1.6
2017,9,17,23:00,UTC,1015.3,0,97,5.8,2.5
2017,9,18,00:00,UTC,1014.4,0,95,6.3,2.5
2017,9,18,01:00,UTC,1014,0,96,5.3,2.5
2017,9,18,02:00,UTC,1013.1,0,96,4.6,2.8
2017,9,18,03:00,UTC,1012.7,0,97,4.1,2.8
2017,9,18,04:00,UTC,1012.1,0,96,4.8,2.9
2017,9,18,05:00,UTC,1011,0,93,6.7,3.9
2017,9,18,06:00,UTC,1010.5,0,90,8,3.1
2017,9,18,07:00,UTC,1009.8,0,85,9.5,3.8
2017,9,18,08:00,UTC,1008.6,0,75,11.1,6
2017,9,18,09:00,UTC,1007.5,0,69,11.3,5.2
2017,9,18,10:00,UTC,1006.7,0,63,11.5,6.3
2017,9,18,11:00,UTC,1005.4,0,60,11.9,5
2017,9,18,12:00,UTC,1004.6,0,60,11.9,5.5
2017,9,18,13:00,UTC,1003.7,0,61,11.5,6.3
2017,9,18,14:00,UTC,1003.2,0,61,11.4,5.9
2017,9,18,15:00,UTC,1002.7,0,63,10.6,6.4
2017,9,18,16:00,UTC,1002.1,0,69,10.2,6.3
2017,9,18,17:00,UTC,1002.1,0,74,9.4,5
2017,9,18,18:00,UTC,1001.8,0,77,9.1,5.9
2017,9,18,19:00,UTC,1001.4,0,80,8.7,5.5
2017,9,18,20:00,UTC,1001.2,0,83,8.4,4.3
2017,9,18,21:00,UTC,1001.3,0,85,8.1,4.8
2017,9,18,22:00,UTC,1001.2,0,85,8.3,4.7
2017,9,18,23:00,UTC,1001.7,0,87,8,3.8
2017,9,19,00:00,UTC,1002,0,88,7.9,3.8
2017,9,19,01:00,UTC,1002,0,87,8.3,4.5
2017,9,19,02:00,UTC,1002.2,0,84,8.9,3.9
2017,9,19,03:00,UTC,1002.6,0,83,9,3.5
2017,9,19,04:00,UTC,1003.3,0,85,8.6,3
2017,9,19,05:00,UTC,1004,0,83,8.7,2.7
2017,9,19,06:00,UTC,1004.4,0,76,9.8,3.9
2017,9,19,07:00,UTC,1005.1,0,73,10.1,2.2
2017,9,19,08:00,UTC,1005.7,0,70,10.2,3.3
2017,9,19,09:00,UTC,1006.7,0.2,88,9,1.6
2017,9,19,10:00,UTC,1007.3,0.2,83,9.5,3.3
2017,9,19,11:00,UTC,1008,0,76,9.6,2.9
2017,9,19,12:00,UTC,1008.6,0,74,10.2,2.4
2017,9,19,13:00,UTC,1009.2,0,73,9.9,2.1
2017,9,19,14:00,UTC,1009.7,0,70,9.9,2.5
2017,9,19,15:00,UTC,1010.3,0,72,9.7,2.1
2017,9,19,16:00,UTC,1010.8,0,74,9.2,1.9
2017,9,19,17:00,UTC,1011.5,0,79,8.5,2
2017,9,19,18:00,UTC,1012,0,81,8.6,2
2017,9,19,19:00,UTC,1012.4,0,84,8.2,1.8
2017,9,19,20:00,UTC,1012.9,0,86,8,1.7
2017,9,19,21:00,UTC,1013.2,0,88,7.6,1.4
2017,9,19,22:00,UTC,1013.8,0,88,7.5,1.3
2017,9,19,23:00,UTC,1014.1,0,89,7.6,2
2017,9,20,00:00,UTC,1014.5,0.1,90,7.3,2
2017,9,20,01:00,UTC,1014.8,0,91,7.2,2.5
2017,9,20,02:00,UTC,1015.1,0,91,7,2.8
2017,9,20,03:00,UTC,1015.5,0,93,6.3,2.8
2017,9,20,04:00,UTC,1015.9,0,93,6.5,2.8
2017,9,20,05:00,UTC,1016.3,0,91,6.8,2.6
2017,9,20,06:00,UTC,1016.8,0,86,7.6,2.6
2017,9,20,07:00,UTC,1017,0,87,8.2,3.7
2017,9,20,08:00,UTC,1017.2,0,84,9.1,3
2017,9,20,09:00,UTC,1017.5,0.5,91,8.8,3
2017,9,20,10:00,UTC,1017.8,0.1,91,9.9,3.1
2017,9,20,11:00,UTC,1018,0,88,11.3,2.5
2017,9,20,12:00,UTC,1018.4,0,86,11.2,3.5
2017,9,20,13:00,UTC,1018.9,0,83,12,2.4
2017,9,20,14:00,UTC,1019.1,0,76,12.5,2.8
2017,9,20,15:00,UTC,1019.4,0,80,11.7,3.3
2017,9,20,16:00,UTC,1019.8,0,84,11.3,2.5
2017,9,20,17:00,UTC,1020.4,0,88,10.8,2.8
2017,9,20,18:00,UTC,1020.9,0,91,10.5,2
2017,9,20,19:00,UTC,1021.2,0,93,10.1,2.8
2017,9,20,20:00,UTC,1021.8,0,94,10.1,2.5
2017,9,20,21:00,UTC,1022.3,0,95,9.8,3
2017,9,20,22:00,UTC,1022.7,0,96,9.7,2.5
2017,9,20,23:00,UTC,1023.4,0,97,9.8,2.5
2017,9,21,00:00,UTC,1023.8,0,97,9.7,2.3
2017,9,21,01:00,UTC,1024.3,0,97,9.6,2
2017,9,21,02:00,UTC,1025,0,97,9.7,2.5
2017,9,21,03:00,UTC,1025.2,0,97,9.6,1.8
2017,9,21,04:00,UTC,1025.3,0,97,10,3
2017,9,21,05:00,UTC,1026,0,97,10.3,3
2017,9,21,06:00,UTC,1026.5,0,98,10.7,2.2
2017,9,21,07:00,UTC,1026.7,0,98,11.3,2.7
2017,9,21,08:00,UTC,1026.9,0,98,13.2,3.3
2017,9,21,09:00,UTC,1027.2,0,88,14.7,5.7
2017,9,21,10:00,UTC,1027.4,0,77,15,5.9
2017,9,21,11:00,UTC,1027.7,0,75,14.6,5.1
2017,9,21,12:00,UTC,1027.9,0,74,14.4,6.2
2017,9,21,13:00,UTC,1027.6,0,74,14.5,6.4
2017,9,21,14:00,UTC,1027.4,0,72,14.3,6.6
2017,9,21,15:00,UTC,1027.5,0,74,14.1,5.5
2017,9,21,16:00,UTC,1027.6,0,75,13.9,5.3
2017,9,21,17:00,UTC,1027.8,0,74,13.8,6.6
2017,9,21,18:00,UTC,1028.1,0,78,13.3,5.4
2017,9,21,19:00,UTC,1028.6,0,77,13.1,7.3
2017,9,21,20:00,UTC,1028.6,0,80,12.6,5.8
2017,9,21,21:00,UTC,1028.5,0,81,12.3,6.2
2017,9,21,22:00,UTC,1028.6,0,84,11.9,5.6
2017,9,21,23:00,UTC,1028.4,0,83,11.8,6.3
2017,9,22,00:00,UTC,1028.3,0,83,11.4,5.8
2017,9,22,01:00,UTC,1027.9,0,86,10.8,6
2017,9,22,02:00,UTC,1027.4,0,88,10.5,6.1
2017,9,22,03:00,UTC,1027.4,0,88,10.5,5.9
2017,9,22,04:00,UTC,1027.5,0.7,93,10.2,5.1
2017,9,22,05:00,UTC,1026.7,0.5,94,10.1,6.8
2017,9,22,06:00,UTC,1026.6,0,93,10.4,7.7
2017,9,22,07:00,UTC,1025,0.6,94,10.4,8.7
2017,9,22,08:00,UTC,1026.7,0.1,94,10.8,5.5
2017,9,22,09:00,UTC,1026.9,0.1,91,11.9,6.2
2017,9,22,10:00,UTC,1026.8,0,88,12.3,5.8
2017,9,22,11:00,UTC,1027,0,88,12.3,4.8
2017,9,22,12:00,UTC,1027.1,0,87,12.4,4.9
2017,9,22,13:00,UTC,1027.2,0,85,12.5,5.8
2017,9,22,14:00,UTC,1026.9,0,85,12.8,4.6
2017,9,22,15:00,UTC,1026.7,0,85,12.9,4.8
2017,9,22,16:00,UTC,1026.6,0,88,12.3,4.1
2017,9,22,17:00,UTC,1026.9,0,92,11.6,4.7
2017,9,22,18:00,UTC,1027.4,0,92,11.3,4.5
